lakeid,sampledate,depth,ca,mg,na,k,cl,so4,cond,ph,alk,dic,temp,bicarbonate,carbonate,alkalinity_calculated,hplus,cations,anions,Lake,Lat,Long
AL,1988-04-26,7,0.6467388592245122,0.2567372968524995,0.06829353168906868,0.017903729091002095,0.011000479508081121,0.08182386008744535,93,7.6,795,10.01,6.4,0.771171569163908,0.0017919310854532257,773.0187202768624,2.5118864315095822e-5,0.9896734168570825,0.8657878398448878,Allequash Lake,46.038317,89.620617
AL,1988-08-18,0,0.5828634163381405,0.2740176918329562,0.0713384662229762,0.016624891298787664,0.007051589428257128,0.07245471580262336,95,8.74,812,9.7,23.8,0.7847176377117314,0.03938219014012724,829.1670728768602,1.8197008586099824e-6,0.9448444656928606,0.9036061330827392,Allequash Lake,46.038317,89.620617
AL,1988-08-18,4,0.590847846698937,0.27936638551738324,0.07199095219452781,0.016369123740344774,0.007897780159647984,0.07162190297730585,95,8.21,823.5,10.365,23.3,0.8448863202449008,0.012382109820352422,858.6982681177337,6.16595001861481e-6,0.9585743081511928,0.936788113202207,Allequash Lake,46.038317,89.620617
AL,1988-08-18,6,0.6512301013024602,0.2855379551532607,0.07351341946148157,0.018926799324773647,0.00874397089103884,0.06079533624817822,103,7.15,924,13.33,20.6,0.9489666521465565,0.001141540076706306,950.1341069615285,7.079457843841373e-5,1.029208275241976,1.0196474993624798,Allequash Lake,46.038317,89.620617
AL,1988-08-18,7,0.94365986326663,0.33079613248302814,0.07394841010918264,0.026088290961174487,0.011282543085211406,0.0166562565063502,137,6.99,1329,21.97,15.8,1.4458090504836938,0.0010725312445854784,1446.8194659307276,1.0232929922807536e-4,1.3744926968200155,1.4748203813198408,Allequash Lake,46.038317,89.620617
AL,1988-11-02,0,0.5629023404361494,0.26825756017280394,0.07090347557527513,0.017392193974116326,0.007897780159647984,0.09494066208619611,83,7.61,777,10.85,2.6,0.831096574224797,0.0017504454858986388,832.8785142929053,2.4547089156850286e-5,0.9194555701583448,0.9356854619565397,Allequash Lake,46.038317,89.620617
AL,1988-11-02,4,0.5918459004940365,0.27237193993005554,0.07220844751837835,0.017392193974116326,0.007897780159647984,0.09431605246720799,82,7.32,778.5,10.92,2.7,0.7786635781134973,8.438856421315693e-4,779.4869081578624,4.7863009232263804e-5,0.9538184819165868,0.8817212963824849,Allequash Lake,46.038317,89.620617
AL,1988-11-02,7,0.595339088776885,0.27319481588150585,0.07264343816607942,0.01764796153255921,0.0076157165825177,0.0951488652925255,82,7.23,778,10.99,2.9,0.7594183997079584,6.734104265393372e-4,760.0549915146968,5.888436553555883e-5,0.9588253043570295,0.862856392009541,Allequash Lake,46.038317,89.620617
AL,1989-03-06,0,0.6357602674784171,0.28636083110471094,0.0800382791769977,0.019182566883216533,0.011000479508081121,0.10222777430772434,102,7.03,904,13.92,0.2,0.8583950496285251,4.383968674304548e-4,858.7484141859896,9.332543007969905e-5,1.0213419446433425,0.972061700311761,Allequash Lake,46.038317,89.620617
AL,1989-03-06,4,0.613553570537452,0.27813207159020775,0.07677584931923964,0.021228707350759633,0.011705638450906835,0.09827191338746616,99.5,6.945,852.5,13.66,2.2,0.8111731966929183,3.646165855271903e-4,811.4328353266181,1.1350108156723144e-4,0.9896901987976591,0.9215153651168185,Allequash Lake,46.038317,89.620617
AL,1989-03-06,7,0.7465442387344677,0.3184529932112734,0.07786332593849232,0.022507545142974067,0.011000479508081121,0.09306683322923172,114,6.96,1016,16.69,3.6,1.0114691857896059,4.928242356571675e-4,1011.8622037521435,1.0964781961431851e-4,1.1653681030272078,1.116029322762576,Allequash Lake,46.038317,89.620617
AL,1989-05-01,0,0.5693896901042966,0.26990331207570456,0.06829353168906868,0.01841526420788787,0.010154288776690265,0.08702894024567978,92,7.32,796,10.85,6.2,0.7834719072765427,9.495514291507702e-4,784.4130849707789,4.7863009232263804e-5,0.9260017980769577,0.8816046877280636,Allequash Lake,46.038317,89.620617
AL,1989-05-01,4,0.5803682818503917,0.26085167660975106,0.06916351298447083,0.01943833444165942,0.009590161622429696,0.0868207370393504,96,7.18,828,11.78,5.5,0.8075043427353975,6.937333843078168e-4,808.1574530981597,6.606934480075965e-5,0.9298218058862731,0.9046089747814854,Allequash Lake,46.038317,89.620617
AL,1989-05-01,7,0.5943410349817855,0.26866899814852907,0.06894601766062029,0.019566218220880865,0.010295320565255407,0.08453050176972726,98.5,7.145,861,12.635,5.4,0.8530928155510772,6.74036918252616e-4,853.7179299113054,7.161434102129026e-5,0.9515222690118157,0.9485926748043125,Allequash Lake,46.038317,89.620617
AL,1989-08-22,0,0.5913468735964867,0.26990331207570456,0.0695985036321719,0.017136426415673436,0.004513017234084563,0.0822402665001041,91,8.64,844,9.96,19.9,0.8100177224898004,0.02963374410797105,842.6068725702914,2.29086765276777e-6,0.9479851157200366,0.9264047503319601,Allequash Lake,46.038317,89.620617
AL,1989-08-22,4,0.6035730325864563,0.26743468422135364,0.07090347557527513,0.01803161287022354,0.004513017234084563,0.08161565688111597,92,8.605,844.5,9.975000000000001,19.8,0.8120162463500767,0.027343551097437413,842.0637547127208,2.4831331052955676e-6,0.9599428052533087,0.9254884715627147,Allequash Lake,46.038317,89.620617
