lakeid,sampledate,depth,ca,mg,na,k,cl,so4,cond,ph,alk,dic,temp,bicarbonate,carbonate,alkalinity_calculated,Lake,Lat,Long
AL,1985-08-19,0,10.905000000000001,3.07,1.395,0.6950000000000001,0.275,2.725,84.5,7.48,785.5,9.754999999999999,18.1,45.74046942437168,0.054568477650193924,751.5961914360163,Allequash Lake,46.038317,89.620617
AL,1985-08-19,4,10.97,3.08,1.4,0.68,0.26,2.69,85,7.46,788,9.61,18.1,44.9020957158489,0.051157325551137285,737.7329965915137,Allequash Lake,46.038317,89.620617
AL,1985-08-19,7,11.03,3.06,1.4,0.72,0.26,2.68,85,7.45,787,9.97,18.1,46.49945348758008,0.05177129986029543,763.9276578963768,Allequash Lake,46.038317,89.620617
AL,1986-03-03,0.5,10.78,3,1.6,0.67,0.35,4.54,NA,6.79,735,11.16,NA,NA,NA,NA,Allequash Lake,46.038317,89.620617
AL,1986-03-03,4,11.07,3.11,1.45,0.72,0.39,4.33,88,6.67,739,11.99,2.6,34.831584370163185,0.004141973289408208,570.7807074749721,Allequash Lake,46.038317,89.620617
AL,1986-03-03,7,13.985,3.7199999999999998,1.58,0.825,0.375,3.53,106,6.825,1049.5,15.41,4.2,52.12395357166538,0.009330984226714426,854.4244279912035,Allequash Lake,46.038317,89.620617
AL,1986-04-24,0,10.04,2.82,1.38,0.69,0.31,3.91,80,7.65,695,9.01,8.4,42.82032968513239,0.05830808068010093,703.8101968262407,Allequash Lake,46.038317,89.620617
AL,1986-04-24,4,10.09,2.805,1.37,0.685,0.325,3.9050000000000002,80,7.645,698,8.9,7.8,42.2296305362175,0.055841211312639236,694.0395909152876,Allequash Lake,46.038317,89.620617
AL,1986-04-24,7,10.14,2.74,1.38,0.69,0.32,3.92,80,7.56,698,9.05,7.5,42.33406753982488,0.045616467623800526,695.3842979311016,Allequash Lake,46.038317,89.620617
AL,1986-08-13,0,11.1,3.2,1.49,0.62,0.29,3.44,83,8.375,765.5,8.99,20.8,44.770482660253634,0.446615211591096,750.3466859399675,Allequash Lake,46.038317,89.620617
AL,1986-08-13,4,10.9,3.23,1.5,0.66,0.29,3.35,NA,8,772,9.36,20.5,46.2513993493488,0.19324859433551908,765.1497919195366,Allequash Lake,46.038317,89.620617
AL,1986-08-13,6,12.73,3.43,1.54,0.79,0.34,2.7,94,7.09,915,12.93,18.5,54.68910679955725,0.02683450027881371,897.1790555415298,Allequash Lake,46.038317,89.620617
AL,1986-08-13,7,16.42,3.68,1.55,0.99,0.43,0.96,120,6.96,1299,17.86,15.6,70.60106739365155,0.023913764155371397,1157.8009741802293,Allequash Lake,46.038317,89.620617
AL,1986-11-03,0,10.85,3.08,1.55,0.66,0.29,3.13,85,7.71,772,9.52,6.4,45.48684199984728,0.06695654661360502,747.7973894701302,Allequash Lake,46.038317,89.620617
AL,1986-11-03,4,10.89,3.165,1.5350000000000001,0.695,0.275,3.105,85,7.6850000000000005,771.5,9.524999999999999,6.4,45.358064770482756,0.06303210003902572,745.5488656269063,Allequash Lake,46.038317,89.620617
AL,1986-11-03,7,10.89,3.25,1.54,0.68,0.33,3.13,84,7.67,775,9.23,6.4,43.86065246779117,0.058881972192008934,720.8654863788083,Allequash Lake,46.038317,89.620617
AL,1987-02-24,0,11.68,3.39,1.81,0.77,1.15,5.18,98,7.125,926.5,12.53,0.4,49.7376017392969,0.015653341195991106,815.6046075130478,Allequash Lake,46.038317,89.620617
AL,1987-04-15,0,10.78,3.21,1.56,0.73,0.39,3.43,83,7.28,804,10.67,7,46.55151202223088,0.025930032638246087,763.7799563859838,Allequash Lake,46.038317,89.620617
AL,1987-04-15,4,10.4,3.3,1.56,0.77,0.37,3.44,84,7.21,812,10.76,6.6,45.746734204239964,0.021425548939761486,750.4236218066648,Allequash Lake,46.038317,89.620617
AL,1987-04-15,7,10.7,3.3,1.6,0.745,0.41000000000000003,3.425,84,7.19,819.5,10.64,6.3,44.83652483332445,0.0198702311302787,735.449112155658,Allequash Lake,46.038317,89.620617
AL,1987-08-13,0,11.379999999999999,3.175,1.56,0.595,0.29500000000000004,3.145,86.5,9.095,814.5,8.85,21.9,42.56076369986097,2.283459406622115,783.5282990020817,Allequash Lake,46.038317,89.620617
AL,1987-08-13,4,11.44,3.2,1.55,0.61,0.28,3.1,83,8.66,822,9.34,21.9,46.28758037510477,0.91211240530721,792.634434746856,Allequash Lake,46.038317,89.620617
AL,1987-08-13,6,14.47,3.42,1.59,0.84,0.37,1.68,NA,7.17,1070,14.78,17,64.07867484380584,0.03645389323184259,1051.4021985953977,Allequash Lake,46.038317,89.620617
AL,1987-08-13,7,16.26,3.57,1.65,1.02,0.44,0.72,113,7,1294,19.01,14.8,76.40163333402131,0.027800041863242208,1253.0058171410599,Allequash Lake,46.038317,89.620617
AL,1987-11-05,0,11.53,3.19,1.62,0.71,0.28,3.64,91,7.53,783,10.31,5.7,47.78422684917784,0.04547595916471501,784.6816711399867,Allequash Lake,46.038317,89.620617
AL,1987-11-05,4,11.53,3.21,1.6,0.71,0.28,3.61,92,7.53,779,10.32,5.6,47.820156504275324,0.045368386326583854,785.266308371696,Allequash Lake,46.038317,89.620617
AL,1987-11-05,7,11.795,3.225,1.61,0.74,0.405,3.565,92,7.545,784,10.13,5.5,47.067457979676625,0.04607925382661921,772.9568366475319,Allequash Lake,46.038317,89.620617
AL,1988-03-02,0,14.17,3.64,1.83,0.86,0.39,5.13,111,7.02,927,13.89,0.2,51.95020805934099,0.012749832977892272,851.7457429339061,Allequash Lake,46.038317,89.620617
AL,1988-03-02,4,14.17,3.515,1.66,0.835,0.355,4,107.5,6.94,888.5,13.96,4,51.121350367760485,0.011849465429513645,838.1148642119208,Allequash Lake,46.038317,89.620617
AL,1988-03-02,6,14.17,3.59,1.75,0.87,0.35,3.89,NA,6.92,930,15,4.4,54.38201190532677,0.012193493700238773,891.5592871014545,Allequash Lake,46.038317,89.620617
AL,1988-03-02,7,15.1,3.77,1.71,0.95,0.37,3.83,113,6.92,951,15.81,4.3,57.27547576989562,0.012801225889851194,938.9999450352275,Allequash Lake,46.038317,89.620617
AL,1988-04-26,0,12.21,3.12,1.5,0.74,0.33,3.9,93,7.58,795,9.57,7.3,44.906622469615705,0.05036455377739313,737.7073827128124,Allequash Lake,46.038317,89.620617
AL,1988-04-26,4,11.83,3.165,1.52,0.75,0.33,3.9050000000000002,93,7.640000000000001,797,9.905,6.8,46.89023517895984,0.05947141464914928,770.5318493323057,Allequash Lake,46.038317,89.620617
AL,1988-04-26,7,12.96,3.12,1.57,0.7,0.39,3.93,93,7.6,795,10.01,6.4,47.05442140136035,0.05376599625348131,773.0187202768624,Allequash Lake,46.038317,89.620617
AL,1988-08-18,0,11.68,3.33,1.64,0.65,0.25,3.48,95,8.74,812,9.7,23.8,47.880959156729176,1.1816429240594477,829.1670728768602,Allequash Lake,46.038317,89.620617
AL,1988-08-18,4,11.84,3.395,1.6549999999999998,0.64,0.28,3.44,95,8.21,823.5,10.365,23.3,51.55225962511907,0.37151901410476423,858.6982681177337,Allequash Lake,46.038317,89.620617
AL,1988-08-18,6,13.05,3.47,1.69,0.74,0.31,2.92,103,7.15,924,13.33,20.6,57.902908420696015,0.03425133923153436,950.1341069615285,Allequash Lake,46.038317,89.620617
AL,1988-08-18,7,18.91,4.02,1.7,1.02,0.4,0.8,137,6.99,1329,21.97,15.8,88.21864167155346,0.03218076372816499,1446.8194659307276,Allequash Lake,46.038317,89.620617
AL,1988-11-02,0,11.28,3.26,1.63,0.68,0.28,4.56,83,7.61,777,10.85,2.6,50.7108534501596,0.05252124158164571,832.8785142929053,Allequash Lake,46.038317,89.620617
AL,1988-11-02,4,11.86,3.31,1.66,0.68,0.28,4.53,82,7.32,778.5,10.92,2.7,47.511559813035646,0.025320366749336673,779.4869081578624,Allequash Lake,46.038317,89.620617
AL,1988-11-02,7,11.93,3.32,1.67,0.69,0.27,4.57,82,7.23,778,10.99,2.9,46.337280611300564,0.020205343143099543,760.0549915146968,Allequash Lake,46.038317,89.620617
AL,1989-03-06,0,12.74,3.48,1.84,0.75,0.39,4.91,102,7.03,904,13.92,0.2,52.37651906417379,0.013153878808817082,858.7484141859896,Allequash Lake,46.038317,89.620617
AL,1989-03-06,4,12.295,3.38,1.7650000000000001,0.8300000000000001,0.41500000000000004,4.72,99.5,6.945,852.5,13.66,2.2,49.495192707972464,0.010940138340450583,811.4328353266181,Allequash Lake,46.038317,89.620617
AL,1989-03-06,7,14.96,3.87,1.79,0.88,0.39,4.47,114,6.96,1016,16.69,3.6,61.71661301548723,0.014786944778775481,1011.8622037521435,Allequash Lake,46.038317,89.620617
AL,1989-05-01,0,11.41,3.28,1.57,0.72,0.36,4.18,92,7.32,796,10.85,6.2,47.804948671911355,0.028490815855954286,784.4130849707789,Allequash Lake,46.038317,89.620617
AL,1989-05-01,4,11.63,3.17,1.59,0.76,0.34,4.17,96,7.18,828,11.78,5.5,49.27133097981721,0.020815123329463888,808.1574530981597,Allequash Lake,46.038317,89.620617
AL,1989-05-01,7,11.91,3.2649999999999997,1.585,0.765,0.365,4.0600000000000005,98.5,7.145,861,12.635,5.4,52.05299370791697,0.020224140713710616,853.7179299113054,Allequash Lake,46.038317,89.620617
AL,1989-08-22,0,11.85,3.28,1.6,0.67,0.16,3.95,91,8.64,844,9.96,19.9,49.424689369615656,0.8891456750876173,842.6068725702914,Allequash Lake,46.038317,89.620617
AL,1989-08-22,4,12.094999999999999,3.25,1.63,0.705,0.16,3.92,92,8.605,844.5,9.975000000000001,19.8,49.54663290029337,0.8204295789030609,842.0637547127208,Allequash Lake,46.038317,89.620617
AL,1989-08-22,6,13.39,3.48,1.65,0.85,0.3,3.08,104,7.02,988,14.95,15.6,60.83534770505552,0.023658797623910054,997.764160298769,Allequash Lake,46.038317,89.620617
AL,1989-08-22,7,16.63,3.94,1.72,1.02,0.32,2.04,119,7.04,1192,17.73,13,72.0857885135265,0.027429023446167513,1182.2678452735079,Allequash Lake,46.038317,89.620617
AL,1989-11-09,0,12.495,3.315,1.685,0.72,0.27,4.119999999999999,94,7.6899999999999995,849.5,10.96,5,52.116196257895226,0.07013404345813129,856.5323041713872,Allequash Lake,46.038317,89.620617
AL,1989-11-09,4,11.87,3.28,1.66,0.75,0.27,3.93,95,7.7,852,11.03,5,52.52253031763678,0.07232722582810526,863.2673270350112,Allequash Lake,46.038317,89.620617
AL,1989-11-09,7,12.12,3.28,1.65,0.7,0.25,4.13,95,7.69,858,11.01,5,52.35395262768489,0.07045399803595138,860.4395207828719,Allequash Lake,46.038317,89.620617
AL,1990-02-27,4,14.2,3.75,1.59,0.89,0.32,4.24,108,6.99,970,14.42,3,54.078882268688105,0.013614188071271587,886.6569996016527,Allequash Lake,46.038317,89.620617
AL,1990-02-27,7,17.21,4.355,1.84,1.0350000000000001,0.33,3.825,131,7.09,1219,17.689999999999998,4.5,70.7219282195333,0.023529586636766922,1159.7756427469458,Allequash Lake,46.038317,89.620617
AL,1990-04-30,0,12.13,3.09,1.55,0.79,0.3,3.83,94,8.08,866,10.6,14.1,52.45798151509275,0.22534329971721392,867.7320014303474,Allequash Lake,46.038317,89.620617
AL,1990-04-30,4,12.879999999999999,3.08,1.585,0.8,0.295,3.8449999999999998,95.5,8.065,867,10.985,13.7,54.3225203977668,0.22306904799841282,898.1800392737796,Allequash Lake,46.038317,89.620617
AL,1990-04-30,7,13.48,3.2,1.62,0.87,0.32,3.49,102,7.05,947,13.79,5.1,54.21381876369009,0.016766300878078625,888.9927279449773,Allequash Lake,46.038317,89.620617
AL,1990-08-22,0,12.34,3.38,1.6,0.66,0.27,3.35,99,8.65,867,10.31,21.7,51.1150694421848,0.9799825257661893,873.8748545474552,Allequash Lake,46.038317,89.620617
AL,1990-08-22,4,12.55,3.42,1.6,0.68,0.28,3.35,NA,8.28,866,10.78,19.8,53.659869789853865,0.42041362079991007,894.7123482932845,Allequash Lake,46.038317,89.620617
AL,1990-08-22,7,18.44,4.16,1.7,1.08,0.37,0.79,135,6.97,1361,21.21,14.9,84.02692344078976,0.028607604023715733,1377.9926863373928,Allequash Lake,46.038317,89.620617
AL,1990-11-09,0,12.18,3.19,1.58,0.64,0.3,3.14,94,7.94,825,10.57,3.2,51.54399440147452,0.11641006902687127,848.7511569932565,Allequash Lake,46.038317,89.620617
AL,1990-11-09,4,12.12,3.16,1.57,0.65,0.29,3.12,94,7.96,829,10.49,3.2,51.23610507031015,0.12116817959186234,843.8707199461217,Allequash Lake,46.038317,89.620617
AL,1990-11-09,7,12.094999999999999,3.175,1.56,0.705,0.29,3.145,94,7.945,827,10.815000000000001,3.2,52.76030505881452,0.12053683216066446,868.8243340346742,Allequash Lake,46.038317,89.620617
AL,1991-02-19,0,13.67,3.67,1.83,0.77,0.33,4.71,106,7.27,938,13.53,-1,56.848228929948476,0.023788359588695105,932.4354274016393,Allequash Lake,46.038317,89.620617
AL,1991-02-19,4,13.99,3.6,1.69,0.82,0.31,3.64,107,7.09,940,13.91,0.9,54.404890686903975,0.01607026720691059,892.1032086933311,Allequash Lake,46.038317,89.620617
AL,1991-02-19,7,15.89,4.02,1.7650000000000001,1,0.335,2.725,123,7.025,1167.5,16.880000000000003,2.3,64.30406128290576,0.01714533313138596,1054.361717087377,Allequash Lake,46.038317,89.620617
AL,1991-05-07,0,12.085,3.0949999999999998,1.5350000000000001,0.775,0.315,3.415,91,7.66,827.5,11.36,8.2,54.04968489942263,0.07486898440508927,888.3994055651561,Allequash Lake,46.038317,89.620617
AL,1991-05-07,4,12.14,3.07,1.56,0.78,0.31,3.44,91,7.62,827,10.83,8.2,51.22661586661569,0.06471492348155099,841.7820020090924,Allequash Lake,46.038317,89.620617
AL,1991-05-07,7,12.09,3.1,1.54,0.76,0.31,3.41,91,7.65,832,10.83,8.2,51.45501519939087,0.06965246430424336,845.6987966852415,Allequash Lake,46.038317,89.620617
AL,1991-08-27,0,12.05,3.16,1.48,0.58,0.265,3.385,91,8.594999999999999,796,9.629999999999999,22.1,47.813372230244376,0.8147769329159775,813.9401741191838,Allequash Lake,46.038317,89.620617
AL,1991-08-27,4,12.1,3.16,1.53,0.59,0.24,3.38,91,8.46,798,9.89,21,49.231301413492154,0.5999823367796101,828.9742340806747,Allequash Lake,46.038317,89.620617
AL,1991-10-28,0,12,3.21,1.55,0.68,0.24,3.44,93,7.67,839,10.97,7.9,52.2444717337868,0.07339637601864181,858.7649730581908,Allequash Lake,46.038317,89.620617
AL,1991-10-28,4,12,3.19,1.56,0.67,0.24,3.46,93,7.65,841,10.94,7.3,51.90781255772037,0.06839861789987874,853.0690524343238,Allequash Lake,46.038317,89.620617
AL,1991-10-28,7,12.145,3.16,1.5750000000000002,0.67,0.25,3.3899999999999997,93,7.615,845,11.005,7.1,51.921348483022136,0.0627383337525753,853.0907012736362,Allequash Lake,46.038317,89.620617
AL,1992-03-04,0,11.78,3.17,1.68,0.73,0.34,5.26,93,7.41,803,11.11,0.1,49.21327368195561,0.029545591901598455,807.5244039607538,Allequash Lake,46.038317,89.620617
AL,1992-03-04,7,14.36,3.72,1.64,0.99,0.48,2.58,107,6.94,1024,17.87,4.7,65.77443210680438,0.015591353283224483,1078.3877156145422,Allequash Lake,46.038317,89.620617
AL,1992-05-05,0,11.85,3.08,1.47,0.72,0.38,3.43,90,7.52,819,10.83,8.4,50.37472015789809,0.05085005018545863,827.3322490780134,Allequash Lake,46.038317,89.620617
AL,1992-05-05,4,11.72,3.08,1.46,0.69,0.33,3.43,90,7.51,792,10.76,8.1,49.923267143781494,0.04881158213146614,819.860690950717,Allequash Lake,46.038317,89.620617
AL,1992-08-26,0,12.01,3.25,1.6,0.59,0.31,3.66,94,8.41,863,10.26,19.6,51.097552336627345,0.5375473375816621,857.0439751511518,Allequash Lake,46.038317,89.620617
AL,1992-08-26,4,12.07,3.23,1.6,0.6,0.31,3.75,NA,8.49,855,10.6,19.6,52.76103088481784,0.6673134687749707,888.9763228645483,Allequash Lake,46.038317,89.620617
AL,1992-08-26,6,13.01,3.25,1.54,0.68,0.29,2.69,102,7.05,959,14.37,16.5,59.44135193620115,0.025336496783494103,974.9882147917048,Allequash Lake,46.038317,89.620617
AL,1992-11-06,0,12.26,3.1950000000000003,1.62,0.685,0.365,3.7300000000000004,92,7.68,853.5,10.83,3.8,51.321315051566216,0.06495156883114682,843.3203299263417,Allequash Lake,46.038317,89.620617
AL,1992-11-06,4,12.12,3.19,1.63,0.67,0.36,3.71,92,7.68,845,10.88,3.7,51.54933272879782,0.06502921835899184,847.0591142239709,Allequash Lake,46.038317,89.620617
AL,1992-11-06,7,11.96,3.16,1.62,0.67,0.35,3.71,92,7.67,847,10.77,3.7,50.95094547574875,0.06281129295211435,837.1760431901255,Allequash Lake,46.038317,89.620617
AL,1993-02-23,0,13.4,3.76,1.91,0.77,0.36,5.08,106,7.25,949,13.06,0.1,54.748676833190856,0.022739665244093137,897.9899671505676,Allequash Lake,46.038317,89.620617
AL,1993-02-23,4,13.27,3.59,1.7,0.835,0.36,3.965,103,7,920,13.395,3.6,50.74584463480972,0.01333143355255596,832.0265118971006,Allequash Lake,46.038317,89.620617
AL,1993-02-23,7,14.82,3.92,1.82,1,0.4,3.34,112,6.95,1023,16.18,4.6,59.88706187272029,0.014480308550626082,981.8662968942991,Allequash Lake,46.038317,89.620617
AL,1993-05-03,0,11.87,3.2,1.46,0.61,0.4,3.64,94,7.27,836,11.38,6,49.310660185437776,0.026030767007538685,808.99670881612235,Allequash Lake,46.038317,89.620617
AL,1993-05-03,4,11.96,3.2,1.44,0.62,0.45,3.68,94,7.26,836,11.5,5.7,49.60535699444422,0.025352797277912613,813.8007196796242,Allequash Lake,46.038317,89.620617
AL,1993-08-26,0,11.79,3.2,1.59,0.625,0.365,3.38,89.5,8.5,830,10.085,23.3,50.15640147943779,0.7047899615497988,848.3000582619768,Allequash Lake,46.038317,89.620617
AL,1993-08-26,4,11.93,3.23,1.57,0.61,0.31,3.32,90,8.4,841,10.24,21.7,50.988974135309235,0.5497252063619628,855.9355219130537,Allequash Lake,46.038317,89.620617
AL,1993-08-26,6,13.22,3.36,1.61,0.77,0.32,2.54,NA,6.96,960,13.5,17.4,53.743995020120416,0.019037747310974757,881.377496126923,Allequash Lake,46.038317,89.620617
AL,1993-08-26,7,15.63,3.58,1.66,0.93,0.37,1.17,113,6.89,1158,17.35,14.6,65.71459890767136,0.018465324283260587,1077.5071552527456,Allequash Lake,46.038317,89.620617
AL,1993-11-03,0,12.38,3.32,1.6,0.7,0.52,3.42,93,7.56,881,11.17,4.2,51.9035102446948,0.050476221362804816,852.3559453773917,Allequash Lake,46.038317,89.620617
AL,1993-11-03,4,12.02,3.3,1.61,0.7,0.4,3.44,93,7.53,878,11.19,4.1,51.67506248416672,0.046749357430595315,848.4810523661846,Allequash Lake,46.038317,89.620617
AL,1994-02-22,0,13.4,3.54,1.96,0.78,0.58,5.25,107,7.3,853,13.22,0.1,56.48912479618408,0.026325418597028916,926.642036477779,Allequash Lake,46.038317,89.620617
AL,1994-02-22,4,13.33,3.48,1.74,0.78,0.48,3.87,105,7.04,940,14.11,2.3,54.21147191163387,0.014962312606074937,888.8867828055147,Allequash Lake,46.038317,89.620617
AL,1994-02-22,7,15.64,3.94,1.8599999999999999,0.9299999999999999,0.625,3.19,123.5,7,1166.5,18.19,3.7,68.9582101032702,0.0181748764044254,1130.667786931161,Allequash Lake,46.038317,89.620617
AL,1994-05-03,0,11.92,3.16,1.61,0.72,0.37,3.75,94,7.84,837,10.85,8,52.689565807887035,0.10981281024801853,867.3360663258187,Allequash Lake,46.038317,89.620617
AL,1994-05-03,4,11.7,3.1,1.58,0.74,0.37,3.77,94,7.85,836,10.93,7.4,53.09686377854102,0.1112226684079947,874.0532311004162,Allequash Lake,46.038317,89.620617
AL,1994-05-03,7,11.795,3.115,1.5950000000000002,0.725,0.375,3.7800000000000002,95,7.55,831,11.09,6.7,51.70356842840416,0.053139896254962314,849.1819130701135,Allequash Lake,46.038317,89.620617
AL,1994-08-25,0,11.88,3.32,1.62,0.67,0.31,3.27,92,8.99,870,9.69,23.2,47.04675707659663,2.0386296761555234,847.5958369898009,Allequash Lake,46.038317,89.620617
AL,1994-08-25,4,11.81,3.28,1.61,0.64,0.3,3.14,NA,8.59,869,10.47,20,52.02085695125341,0.8359994192664061,883.0827619957092,Allequash Lake,46.038317,89.620617
AL,1994-08-25,6,12.495000000000001,3.3499999999999996,1.5950000000000002,0.7,0.345,2.74,98,7.07,929.5,13.530000000000001,17.6,56.630171096959685,0.02596850119674341,928.9497503890278,Allequash Lake,46.038317,89.620617
AL,1994-08-25,7,16.52,3.87,1.66,1.1,0.43,0.16,133,7.01,1365,24.03,16,97.47873341414886,0.03742273625031576,1598.7640856655512,Allequash Lake,46.038317,89.620617
AL,1994-11-17,0,11.03,3.1,1.59,0.71,0.34,3.69,92,7.68,823,10.77,5,51.139445096811464,0.06725307999263518,840.4259167425033,Allequash Lake,46.038317,89.620617
AL,1994-11-17,4,11.12,3.12,1.62,0.73,0.39,3.71,92,7.65,819,10.88,4.8,51.41223949832431,0.06270070396011462,844.736017073133,Allequash Lake,46.038317,89.620617
AL,1994-11-17,7,11.07,3.1100000000000003,1.5950000000000002,0.72,0.365,3.705,92,7.675000000000001,818.5,10.695,4.8,50.72966628982846,0.0655341846191265,833.6499329959092,Allequash Lake,46.038317,89.620617
AL,1995-02-21,0,13.285,3.54,1.795,0.705,0.44499999999999995,5.050000000000001,103.5,7.325,922.5,12.5,0.1,53.8892269923282,0.026601883880743884,884.0460905512064,Allequash Lake,46.038317,89.620617
AL,1995-02-21,4,13.91,3.62,1.79,0.77,0.44,4.41,104,7.11,928,13.21,3.5,53.02912425736775,0.01788870756149203,869.6255806928616,Allequash Lake,46.038317,89.620617
AL,1995-02-21,6,15.57,3.95,1.8,0.86,0.46,3.95,114,6.99,1031,16.03,4.5,60.74143044228632,0.016052593926467774,995.9320597412365,Allequash Lake,46.038317,89.620617
AL,1995-05-01,0,12.26,3.33,1.57,0.75,0.38,3.71,96,7.89,856,11.54,7.3,56.25112871086311,0.12880889059341707,926.3495472794189,Allequash Lake,46.038317,89.620617
AL,1995-05-01,4,12.33,3.34,1.59,0.76,0.52,3.78,97,7.89,856,11.53,6.7,56.17290390826145,0.12630689529761693,924.9745728318352,Allequash Lake,46.038317,89.620617
AL,1995-05-01,7,12.475000000000001,3.34,1.57,0.73,0.41500000000000004,3.75,97,7.365,862.5,12.364999999999998,5.7,55.1115705918375,0.035870719858045755,904.4134212000527,Allequash Lake,46.038317,89.620617
AL,1995-12-14,0,13.27,3.51,1.79,0.77,0.43,4.22,101,7.42,901,12.95,0.1,57.53016805467156,0.03534321740031485,944.0235273022882,Allequash Lake,46.038317,89.620617
AL,1995-12-14,4,12.504999999999999,3.33,1.6150000000000002,0.695,0.335,4.195,94,7.095000000000001,830.5,12.98,2.8,51.512377702455595,0.016406508697273975,844.7137219920596,Allequash Lake,46.038317,89.620617
AL,1995-12-14,7,14.98,3.81,1.71,0.84,0.4,4.46,109,7.01,1025,16.6,3.7,63.295641345849894,0.017071012903381467,1037.8306746719122,Allequash Lake,46.038317,89.620617
AL,1996-02-20,0,12.71,3.45,1.79,0.74,0.4,5.205,99,7.380000000000001,870,12.425,0.4,54.607165554658316,0.030915184717142833,895.9657936675015,Allequash Lake,46.038317,89.620617
AL,1996-02-20,4,14.3,3.73,1.73,0.84,0.37,4.74,107,7.02,972,15.3,3.8,58.70978691543395,0.01625557639303976,962.6494043499728,Allequash Lake,46.038317,89.620617
AL,1996-02-20,7,15.2,3.94,1.78,0.9,0.38,4.65,114,7.05,1122,16.72,4.6,65.53966807715862,0.01995028237272919,1074.7155060583696,Allequash Lake,46.038317,89.620617
AL,1996-05-14,0,11.53,2.98,1.41,0.68,0.32,3.68,86,7.17,762,10.77,5.8,44.923994945504326,0.0187209533856521,736.8384345994688,Allequash Lake,46.038317,89.620617
AL,1996-05-14,4,11.51,2.96,1.4,0.69,0.35,3.69,87,7.15,779,10.95,5.5,45.23025921395048,0.01783256316278256,741.822848420882,Allequash Lake,46.038317,89.620617
AL,1996-05-14,7,18.575,4.36,1.8,1.1549999999999998,0.49,2.4050000000000002,131,7.025,1256,20.52,5.2,79.6556405644185,0.02332986278159131,1306.167370407732,Allequash Lake,46.038317,89.620617
AL,1996-08-08,0,10.83,2.92,1.56,0.61,0.26,3.31,NA,8.57,796,9.67,22.6,48.03467527078127,0.7812111755412698,816.3905615140636,Allequash Lake,46.038317,89.620617
AL,1996-08-08,2,11.08,2.98,1.57,0.6,0.27,3.28,NA,8.55,794,9.84,22.6,48.90065949776223,0.7595009205817057,829.7187576330408,Allequash Lake,46.038317,89.620617
AL,1996-08-08,4,11.335,3.005,1.56,0.63,0.275,3.135,NA,7.234999999999999,823.5,10.379999999999999,18.6,46.09083102608075,0.03165477491654738,756.4773294042373,Allequash Lake,46.038317,89.620617
AL,1996-08-08,7,13.26,3.19,1.62,0.98,0.43,1.09,NA,7.55,1096,16.35,10.2,76.70901134427665,0.08741566884411292,1260.163456640126,Allequash Lake,46.038317,89.620617
AL,1996-11-04,4,11.58,3.09,1.62,0.71,0.335,3.8449999999999998,92,7.98,830,10.735,3.7,52.53521757271902,0.13223183388798376,865.5449260855821,Allequash Lake,46.038317,89.620617
AL,1996-11-04,7,11.54,3.07,1.6,0.73,0.33,3.74,91,7.84,850,10.8,3.8,52.21418159842636,0.09551692761640523,859.0138139780336,Allequash Lake,46.038317,89.620617
AL,1997-02-26,0,12.05,3.29,1.85,0.66,0.42,5.13,100,7.39,856,11.6,0.4,51.13724209147947,0.02962507873960908,839.0563617614993,Allequash Lake,46.038317,89.620617
AL,1997-02-26,7,15.78,3.92,1.82,0.97,0.41,2.12,129,7.2,1215,17.53,4.4,73.54732254885627,0.03142242907985347,1206.3678547145375,Allequash Lake,46.038317,89.620617
AL,1997-05-13,0,11.96,3.18,1.55,0.69,0.34,3.31,91,7.97,814,10.51,10.6,51.64656514728052,0.15656979857876377,851.9237561191055,Allequash Lake,46.038317,89.620617
AL,1997-05-13,4,11.92,3.14,1.54,0.72,0.32,3.28,91,7.88,814,10.57,8.7,51.54066893492187,0.12024422738816908,848.8844157628328,Allequash Lake,46.038317,89.620617
AL,1997-05-13,7,11.915,3.16,1.545,0.715,0.315,3.3049999999999997,90,7.785,813,10.765,8.4,52.01565373489193,0.09665243512593524,855.8362385896751,Allequash Lake,46.038317,89.620617
AL,1997-08-27,0,11.98,3.2,1.62,0.57,0.32,3.36,90,8.44,809,10.02,19.7,49.89505397187223,0.5637421963878784,838.3462361575785,Allequash Lake,46.038317,89.620617
AL,1997-08-27,4,12.12,3.2,1.63,0.58,0.32,3.32,NA,7.97,813,10.27,18.5,50.64552220506528,0.18850971429978214,836.8590050267558,Allequash Lake,46.038317,89.620617
AL,1997-08-27,6,14.335,3.435,1.645,0.85,0.385,2.0199999999999996,103,7.029999999999999,981,14.71,15.1,60.02056097361895,0.0235828464119618,984.4094399486586,Allequash Lake,46.038317,89.620617
AL,1997-08-27,7,17.69,3.82,1.7,1.2,0.4,0.38,127,6.78,1242,23.47,11.9,81.44327952561572,0.016528893779204582,1335.1673685943624,Allequash Lake,46.038317,89.620617
AL,1997-11-07,0,11.95,3.275,1.645,0.69,0.315,3.7,93,7.609999999999999,834.5,10.79,5.2,50.6944715170916,0.05710264824491251,832.7795789738828,Allequash Lake,46.038317,89.620617
AL,1997-11-07,4,12.06,3.29,1.66,0.68,0.32,3.69,93,7.62,834,10.78,5.1,50.72258265964766,0.05828121733924052,833.2811843865768,Allequash Lake,46.038317,89.620617
